data_type,root_name_path,root_category_path,family_name,family_file_path,use_counter,used_by,pattern_name,pattern_id
LinePattern,Sample_Family_Eight,Furniture Systems,Sample_Family_Eight,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\combined\Furniture Systems\Sample_Family_Eight.rfa,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Eight"", ""element_id"": -2009518}]",Hidden 04_BVN,1428068
LinePattern,Sample_Family_Eight,Furniture Systems,Sample_Family_Eight,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\combined\Furniture Systems\Sample_Family_Eight.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Eight"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Eight :: Sample_Family_Thirteen"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Eight,Furniture Systems,Sample_Family_Eight,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\combined\Furniture Systems\Sample_Family_Eight.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Eight"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Eight :: Sample_Family_Thirteen"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Eight,Furniture Systems,Sample_Family_Eight,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\combined\Furniture Systems\Sample_Family_Eight.rfa,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Eight"", ""element_id"": 10600768}]",Dash dot,1499753
LinePattern,Sample_Family_Eight :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Eight :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Eight :: Sample_Family_Thirteen"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Eight :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Eight :: Sample_Family_Thirteen"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Ten,Generic Annotations,Sample_Family_Ten,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\combined\Generic Annotations\Sample_Family_Ten.rfa,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Ten,Generic Annotations,Sample_Family_Ten,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\combined\Generic Annotations\Sample_Family_Ten.rfa,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Ten"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Ten,Generic Annotations,Sample_Family_Ten,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\combined\Generic Annotations\Sample_Family_Ten.rfa,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Ten"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Six,Specialty Equipment,Sample_Family_Six,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\Sample_Family_Six.rfa,3,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six"", ""element_id"": -2009527},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Eleven"", ""element_id"": -2009512},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven"", ""element_id"": -2009517}]",Hidden 04_BVN,1428068
LinePattern,Sample_Family_Six,Specialty Equipment,Sample_Family_Six,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\Sample_Family_Six.rfa,9,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Thirteen"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Eleven"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Eleven :: Section Tail - Upgrade"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Symbol_Outlet_GPO_Single_Emergency_ANN"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Section Tail - Upgrade"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN :: Label_Text_1_5mm_ANN"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Six,Specialty Equipment,Sample_Family_Six,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\Sample_Family_Six.rfa,9,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Thirteen"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Eleven"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Eleven :: Section Tail - Upgrade"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Symbol_Outlet_GPO_Single_Emergency_ANN"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Section Tail - Upgrade"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN :: Label_Text_1_5mm_ANN"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Six,Specialty Equipment,Sample_Family_Six,C:\Users\jchristel\dev\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyData\Sample_Family_Six.rfa,3,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six"", ""element_id"": 8485759},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Eleven"", ""element_id"": 9152387},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven"", ""element_id"": 9156917}]",Dash dot,1499753
